code_in_XMLs	resolved_code_and_link	note	organization	location	status
PUR	[[Collection PUR|PUR]]	Automatically matched with IH	Purdue University	West Lafayette, Indiana, U.S.A.	Active
Q	[[Collection Q|Q]]	Automatically matched with IH	Universidad Central	Quito, Ecuador	Active
QFA	[[Collection QFA|QFA]]	Automatically matched with IH	Université Laval	Québec, Québec, Canada	Active
QK	[[Collection QK|QK]]	Automatically matched with IH	Queen's University	Elgin, Ontario, Canada	Active
QMC	[[Collection QMC|QMC]]	Automatically matched with IH	Queen Mary College	London, England, U.K.	Inactive
QMP	[[Collection QMP|QMP]]	Automatically matched with IH	Musée du Québec	Québec, Québec, Canada	Inactive
QPH	[[Collection QPH|QPH]]	Automatically matched with IH	Séminaire de Québec	Québec, Québec, Canada	Inactive
QPLS	[[Collection QPLS|QPLS]]	Automatically matched with IH	Biblioteca Ecuatoriana Aurelio Espinosa Pólit	Quito, Ecuador	Active
QUE	[[Collection QUE|QUE]]	Automatically matched with IH	Complexe scientifique	Sainte-Foy, Québec, Canada	Active
R	[[Collection R|R]]	Automatically matched with IH	Museu Nacional	Rio de Janeiro, Rio de Janeiro, Brazil	Active
RAB	[[Collection RAB|RAB]]	Automatically matched with IH	Institut Scientifique	Rabat, Morocco	Active
RAMM	[[Collection RAMM|RAMM]]	Automatically matched with IH	Royal Albert Memorial Museum & Art Gallery	Exeter, England, U.K.	Active
RAW	[[Collection RAW|RAW]]	Automatically matched with IH	Pakistan Agricultural Research Council	Islamabad, Islamabad, Pakistan	Active
RB	[[Collection RB|RB]]	Automatically matched with IH	Jardim Botânico do Rio de Janeiro	Rio de Janeiro, Rio de Janeiro, Brazil	Active
REG	[[Collection REG|REG]]	Automatically matched with IH	Regensburgische Botanische Gesellschaft	Regensburg, Germany	Active
REN	[[Collection REN|REN]]	Automatically matched with IH	Culture Scientifique et Technique (CST) Université de Rennes 1	Rennes, France	Active
RAINE	[[Collection RENO|RENO]]	Not an OCR error. Same in IH-Collectors 			
RENO	[[Collection RENO|RENO]]	Automatically matched with IH	University of Nevada	Reno, Nevada, U.S.A.	Active
RENU	[[Collection RENO|RENO]]	Typo or alternative spelling. Should be RENO			
RFA	[[Collection RFA|RFA]]	Automatically matched with IH	Universidade Federal do Rio de Janeiro	Rio de Janeiro, Rio de Janeiro, Brazil	Active
RGY	[[Collection RGY|RGY]]	Automatically matched with IH	Rugby School Natural History Society Museum	Rugby, England, U.K.	Inactive
RH	[[Collection RH|RH]]	Made a page manually with IH6 information			
RHS	–	Not a herbarium			
RHT	[[Collection RHT|RHT]]	Automatically matched with IH	St. Joseph's College	Tiruchirapalli, Tamil Nadu, India	Active
RIG	[[Collection RIG|RIG]]	Automatically matched with IH	University of Latvia	Riga, Latvia	Active
RIGA	[[Collection RIG|RIG]]	Alternative to RIG			
RJ	[[Collection RJ|RJ]]	Typo or alternative spelling. Should be RB? Suggestion added in text 			
RM	[[Collection RM|RM]]	Automatically matched with IH	University of Wyoming	Laramie, Wyoming, U.S.A.	Active
RMS	[[Collection RMS|RMS]]	Automatically matched with IH	University of Wyoming	Laramie, Wyoming, U.S.A.	Active
SOLH	[[Collection RMS|SOLH]]	Multiple occurrences, not in IH-Collectors. Solheim Mycological herbarium, [[Collection RMS|RMS]]			
SOLM	[[Collection RMS|SOLH]]	Typo or alternative spelling. Should be SOLH, now [[Collection RMS|RMS]]			
RNG	[[Collection RNG|RNG]]	Automatically matched with IH	University of Reading	Reading, England, U.K.	Active
RNMUT	[[Collection RNMUT|RNMUT]]	Automatically matched with IH	Republic Nature Museum of Uzbekistan	Tashkent, Uzbekistan	Inactive
RO	[[Collection RO|RO]]	Automatically matched with IH	Università degli Studi di Roma La Sapienza	Roma, Italy	Active
ROPV	[[Collection ROPV|ROPV]]	Automatically matched with IH	Research Centre for Plant Protection and Certification	Roma, Italy	Active
ROST	[[Collection ROST|ROST]]	Automatically matched with IH	Universität Rostock	Rostock, Germany	Active
ROUEN	[[Collection ROUEN|ROUEN]]	Herbarium transferred? No records for the city			
ROV	[[Collection ROV|ROV]]	Automatically matched with IH	Museo Civico di Rovereto	Rovereto, Italy	Active
RPM	[[Collection RPM|RPM]]	Automatically matched with IH	Reading Public Museum	Reading, Pennsylvania, U.S.A.	Active
RPPR	[[Collection RPPR|RPPR]]	Automatically matched with IH	Internationl Institute of Tropical Forestry	, Puerto Rico	Inactive
RSA	[[Collection RSA|RSA]]	Automatically matched with IH	California Botanic Garden	Claremont, California, U.S.A.	Active
RSDR	[[Collection RSDR|RSDR]]	Automatically matched with IH	Desert Institute, Turkmenistan Academy of Sciences	Chardzhou, Turkmenistan	Inactive
RSL	[[Collection RSL|RSL]]	Typo or alternative spelling. WRSL? Suggestion added in text			
RSU	[[Collection RSU|RSU]]	Automatically matched with IH	Ryazan State University	Ryazan, Ryazan Region, Russia	Active
RTE	[[Collection RTE|RTE]]	Automatically matched with IH	Holmesdale Natural History Club Museum	Reigate, England, U.K.	Active
RUEB	[[Collection RUEB|RUEB]]	Automatically matched with IH	Eidgenössische Technische Hochschule ETH	Zürich, Switzerland	Inactive
RUH	[[Collection RUH|RUH]]	Automatically matched with IH	Rhodes University	Grahamstown, Eastern Cape Province, Republic of South Africa	Inactive
RUT	[[Collection RUT|RUT]]	Automatically matched with IH	Douglass College, Rutgers University	New Brunswick, New Jersey, U.S.A.	Inactive
RUTPP	[[Collection RUTPP|RUTPP]]	Automatically matched with IH	Cook College, Rutgers University	New Brunswick, New Jersey, U.S.A.	Active
RV	[[Collection RV|RV]]	Automatically matched with IH	Southern Federal University	Rostov-on-Don, Rostov Oblast, Russia	Active
